Case #,Question,Answer,Simplefied question,Simplified Answer
"""00001373""","We have a few questions listed below regarding our GA4 app configuration and hoping you could help us answer the questions.

 

When seeing Realtime data for website / app for the past 30 mins, the numbers are unusually high. We generally do not have more than 4-5 users working on our test website / app but for some reason it shows 30+ most of the times. Any idea why would this be happening? Just FYI, the numbers are correctly displaying on Universal.
When 2 or more conditions are applied for segmentation, the Realtime data does not populate any results. It only works when 1 condition is applied. Do you know if this is a bug or is there a way around this?
For most of our events, our (not set) numbers are very high, despite of configuring the tag correctly. Any idea what needs to be changed in order to minimize this number as much as possible? Did look at google’s page but not that useful. Just FYI, most of the events which we track are custom events.
How do we connect the debug view on app via GTM, do you have any steps for that. I did create a android container. What needs to be done next?
 

While using user snapshot tool to debug, we are unable to see the data instantly. Just FYI our website is connected to GTM, for which the debug view works great, but our app is tagged through backend, for which we are finding a way to debug the events created.

","In an app dev instance, is it possible that your dev team is generating new instances of the app during QA that may be generating a new client ID (device ID)? If so, this may be why you are seeing an increase in users within a 30-minute period.

2. Following the documentation around comparison, there will be combinations of dimensions that may not work in real-time reporting (but may work in other reports). This is due to how GA4 processes the data and in some instances takes time for the back-end of GA4 to digest the data and apply it. In an example of 2 conditions working, Selecting ""Device Category"" = ""mobile"" and ""App version"" = 5.44, the real-time report continues to show activity

Can you provide some combinations that are causing the report to not display data on your end?


3. During your QA of tracking, are you watching the network calls being set out of the app and into GA4 or are you just firing the event and waiting to see the event in GA4? I would always suggest you follow the path of data as it flows to GA4 in case the data is not being sent with the expected data. In regards to the (not set) data you are seeing, can you provide some dimensions + event combos so that I can take a look?

4. In regards to debug for apps, Google has documentation for Android and iOS below:

Google Tag Manager for Android
Google Tag Manager for iOS

2. Realtime is subject to data processing delays and what may or may not be available at the time data is flowing in. The realtime report will not always work with every dimension in GA4, and if it is important to debug events that are coming in along with the information each event is sending, then I would suggest using the debug feature when testing your apps: 

https://analytics.google.com/analytics/web/?pli=1#/a237882206p327698204/admin/debugview/overview

https://support.google.com/analytics/answer/7201382?hl=en

3. I would still suggest watching the data flow from the initial point (e.g. the app) and follow the activity between that and GA4. If there is a point in the process where the data changes, you will only find that out when tracing the data between systems. Often times, the implemenation of the events is solid from a dev perspective, but when the event is sent from the app out to GA4, the data is not populating the network call and thus resulting in (not set) at the end. If you can provide me with screenshots of the trace between app to GA4, that would be helpful to determine where the data is being lost.

4. Great!

5. As mentioned above, using the ""DebugView"" feature seems to be what you are more interested vs the realtime reporting + user snapshot. The DebugView feature is more geared toward seeing the data as a whole as it come through via a debug activated device. This will allow you to better see information coming through to GA4 vs. the RT report which is not designed to capture and display all data points sent with each event.

https://support.google.com/analytics/answer/7201382?hl=en",Why does Realtime data disappear when applying multiple segmentation conditions?,It's a known limitation. Use DebugView for more comprehensive debugging.
"""00001373""","We have a few questions listed below regarding our GA4 app configuration and hoping you could help us answer the questions.

 

When seeing Realtime data for website / app for the past 30 mins, the numbers are unusually high. We generally do not have more than 4-5 users working on our test website / app but for some reason it shows 30+ most of the times. Any idea why would this be happening? Just FYI, the numbers are correctly displaying on Universal.
When 2 or more conditions are applied for segmentation, the Realtime data does not populate any results. It only works when 1 condition is applied. Do you know if this is a bug or is there a way around this?
For most of our events, our (not set) numbers are very high, despite of configuring the tag correctly. Any idea what needs to be changed in order to minimize this number as much as possible? Did look at google’s page but not that useful. Just FYI, most of the events which we track are custom events.
How do we connect the debug view on app via GTM, do you have any steps for that. I did create a android container. What needs to be done next?
 

While using user snapshot tool to debug, we are unable to see the data instantly. Just FYI our website is connected to GTM, for which the debug view works great, but our app is tagged through backend, for which we are finding a way to debug the events created.

","In an app dev instance, is it possible that your dev team is generating new instances of the app during QA that may be generating a new client ID (device ID)? If so, this may be why you are seeing an increase in users within a 30-minute period.

2. Following the documentation around comparison, there will be combinations of dimensions that may not work in real-time reporting (but may work in other reports). This is due to how GA4 processes the data and in some instances takes time for the back-end of GA4 to digest the data and apply it. In an example of 2 conditions working, Selecting ""Device Category"" = ""mobile"" and ""App version"" = 5.44, the real-time report continues to show activity

Can you provide some combinations that are causing the report to not display data on your end?


3. During your QA of tracking, are you watching the network calls being set out of the app and into GA4 or are you just firing the event and waiting to see the event in GA4? I would always suggest you follow the path of data as it flows to GA4 in case the data is not being sent with the expected data. In regards to the (not set) data you are seeing, can you provide some dimensions + event combos so that I can take a look?

4. In regards to debug for apps, Google has documentation for Android and iOS below:

Google Tag Manager for Android
Google Tag Manager for iOS

2. Realtime is subject to data processing delays and what may or may not be available at the time data is flowing in. The realtime report will not always work with every dimension in GA4, and if it is important to debug events that are coming in along with the information each event is sending, then I would suggest using the debug feature when testing your apps: 

https://analytics.google.com/analytics/web/?pli=1#/a237882206p327698204/admin/debugview/overview

https://support.google.com/analytics/answer/7201382?hl=en

3. I would still suggest watching the data flow from the initial point (e.g. the app) and follow the activity between that and GA4. If there is a point in the process where the data changes, you will only find that out when tracing the data between systems. Often times, the implemenation of the events is solid from a dev perspective, but when the event is sent from the app out to GA4, the data is not populating the network call and thus resulting in (not set) at the end. If you can provide me with screenshots of the trace between app to GA4, that would be helpful to determine where the data is being lost.

4. Great!

5. As mentioned above, using the ""DebugView"" feature seems to be what you are more interested vs the realtime reporting + user snapshot. The DebugView feature is more geared toward seeing the data as a whole as it come through via a debug activated device. This will allow you to better see information coming through to GA4 vs. the RT report which is not designed to capture and display all data points sent with each event.

https://support.google.com/analytics/answer/7201382?hl=en","Why are ""(not set)"" values high for custom events, despite correct tag configuration?",Trace data flow from app to GA4 to pinpoint where data gets lost. Provide screenshots for analysis.
"""00001373""","We have a few questions listed below regarding our GA4 app configuration and hoping you could help us answer the questions.

 

When seeing Realtime data for website / app for the past 30 mins, the numbers are unusually high. We generally do not have more than 4-5 users working on our test website / app but for some reason it shows 30+ most of the times. Any idea why would this be happening? Just FYI, the numbers are correctly displaying on Universal.
When 2 or more conditions are applied for segmentation, the Realtime data does not populate any results. It only works when 1 condition is applied. Do you know if this is a bug or is there a way around this?
For most of our events, our (not set) numbers are very high, despite of configuring the tag correctly. Any idea what needs to be changed in order to minimize this number as much as possible? Did look at google’s page but not that useful. Just FYI, most of the events which we track are custom events.
How do we connect the debug view on app via GTM, do you have any steps for that. I did create a android container. What needs to be done next?
 

While using user snapshot tool to debug, we are unable to see the data instantly. Just FYI our website is connected to GTM, for which the debug view works great, but our app is tagged through backend, for which we are finding a way to debug the events created.

","In an app dev instance, is it possible that your dev team is generating new instances of the app during QA that may be generating a new client ID (device ID)? If so, this may be why you are seeing an increase in users within a 30-minute period.

2. Following the documentation around comparison, there will be combinations of dimensions that may not work in real-time reporting (but may work in other reports). This is due to how GA4 processes the data and in some instances takes time for the back-end of GA4 to digest the data and apply it. In an example of 2 conditions working, Selecting ""Device Category"" = ""mobile"" and ""App version"" = 5.44, the real-time report continues to show activity

Can you provide some combinations that are causing the report to not display data on your end?


3. During your QA of tracking, are you watching the network calls being set out of the app and into GA4 or are you just firing the event and waiting to see the event in GA4? I would always suggest you follow the path of data as it flows to GA4 in case the data is not being sent with the expected data. In regards to the (not set) data you are seeing, can you provide some dimensions + event combos so that I can take a look?

4. In regards to debug for apps, Google has documentation for Android and iOS below:

Google Tag Manager for Android
Google Tag Manager for iOS

2. Realtime is subject to data processing delays and what may or may not be available at the time data is flowing in. The realtime report will not always work with every dimension in GA4, and if it is important to debug events that are coming in along with the information each event is sending, then I would suggest using the debug feature when testing your apps: 

https://analytics.google.com/analytics/web/?pli=1#/a237882206p327698204/admin/debugview/overview

https://support.google.com/analytics/answer/7201382?hl=en

3. I would still suggest watching the data flow from the initial point (e.g. the app) and follow the activity between that and GA4. If there is a point in the process where the data changes, you will only find that out when tracing the data between systems. Often times, the implemenation of the events is solid from a dev perspective, but when the event is sent from the app out to GA4, the data is not populating the network call and thus resulting in (not set) at the end. If you can provide me with screenshots of the trace between app to GA4, that would be helpful to determine where the data is being lost.

4. Great!

5. As mentioned above, using the ""DebugView"" feature seems to be what you are more interested vs the realtime reporting + user snapshot. The DebugView feature is more geared toward seeing the data as a whole as it come through via a debug activated device. This will allow you to better see information coming through to GA4 vs. the RT report which is not designed to capture and display all data points sent with each event.

https://support.google.com/analytics/answer/7201382?hl=en",How to connect debug view on app via GTM for an Android container?,"Refer to Google's documentation:

Google Tag Manager for Android: https://developers.google.com/tag-platform/tag-manager/android/v5#preview-debug-pubish-container

Google Tag Manager for iOS: https://developers.google.com/tag-platform/tag-manager/ios/v5#preview-debug-pubish-container"
"""00001373""","We have a few questions listed below regarding our GA4 app configuration and hoping you could help us answer the questions.

 

When seeing Realtime data for website / app for the past 30 mins, the numbers are unusually high. We generally do not have more than 4-5 users working on our test website / app but for some reason it shows 30+ most of the times. Any idea why would this be happening? Just FYI, the numbers are correctly displaying on Universal.
When 2 or more conditions are applied for segmentation, the Realtime data does not populate any results. It only works when 1 condition is applied. Do you know if this is a bug or is there a way around this?
For most of our events, our (not set) numbers are very high, despite of configuring the tag correctly. Any idea what needs to be changed in order to minimize this number as much as possible? Did look at google’s page but not that useful. Just FYI, most of the events which we track are custom events.
How do we connect the debug view on app via GTM, do you have any steps for that. I did create a android container. What needs to be done next?
 

While using user snapshot tool to debug, we are unable to see the data instantly. Just FYI our website is connected to GTM, for which the debug view works great, but our app is tagged through backend, for which we are finding a way to debug the events created.

","In an app dev instance, is it possible that your dev team is generating new instances of the app during QA that may be generating a new client ID (device ID)? If so, this may be why you are seeing an increase in users within a 30-minute period.

2. Following the documentation around comparison, there will be combinations of dimensions that may not work in real-time reporting (but may work in other reports). This is due to how GA4 processes the data and in some instances takes time for the back-end of GA4 to digest the data and apply it. In an example of 2 conditions working, Selecting ""Device Category"" = ""mobile"" and ""App version"" = 5.44, the real-time report continues to show activity

Can you provide some combinations that are causing the report to not display data on your end?


3. During your QA of tracking, are you watching the network calls being set out of the app and into GA4 or are you just firing the event and waiting to see the event in GA4? I would always suggest you follow the path of data as it flows to GA4 in case the data is not being sent with the expected data. In regards to the (not set) data you are seeing, can you provide some dimensions + event combos so that I can take a look?

4. In regards to debug for apps, Google has documentation for Android and iOS below:

Google Tag Manager for Android
Google Tag Manager for iOS

2. Realtime is subject to data processing delays and what may or may not be available at the time data is flowing in. The realtime report will not always work with every dimension in GA4, and if it is important to debug events that are coming in along with the information each event is sending, then I would suggest using the debug feature when testing your apps: 

https://analytics.google.com/analytics/web/?pli=1#/a237882206p327698204/admin/debugview/overview

https://support.google.com/analytics/answer/7201382?hl=en

3. I would still suggest watching the data flow from the initial point (e.g. the app) and follow the activity between that and GA4. If there is a point in the process where the data changes, you will only find that out when tracing the data between systems. Often times, the implemenation of the events is solid from a dev perspective, but when the event is sent from the app out to GA4, the data is not populating the network call and thus resulting in (not set) at the end. If you can provide me with screenshots of the trace between app to GA4, that would be helpful to determine where the data is being lost.

4. Great!

5. As mentioned above, using the ""DebugView"" feature seems to be what you are more interested vs the realtime reporting + user snapshot. The DebugView feature is more geared toward seeing the data as a whole as it come through via a debug activated device. This will allow you to better see information coming through to GA4 vs. the RT report which is not designed to capture and display all data points sent with each event.

https://support.google.com/analytics/answer/7201382?hl=en",Why is data not instantly visible in User Snapshot tool?,DebugView is better suited for real-time debugging and data visibility.
"""00001398""","I noticed that (as the recording of this screenshot), that there’s a field for “Billable Event Volume”.  This seems to align with the row field above called “Event volume fee (variable)”.  One of the fields calrified “Variable monthly fee based on the event volume beyond the first 25M events.” However, I noticed that our total event volume (currently over 2M events) is under 25M monthly events for GA4.  Can you help clarify what this means?","Yes, so all billable events under 25m is a flat fee and does not change what they owe each month  (as long as they stay under 25m a month). This means that if you only had 100 events in a month or 24m events in a month, the price you pay is the same. Once they go over 25m billable events, they start to hit the variable cost per tier, where the price per million events after 25m has a few levels where each million events are a different (variable) cost","Why is there a field for ""Billable Event Volume"" and ""Event volume fee (variable)"" even though our total event volume is under 25M monthly events, the threshold for variable fees?","You're only charged a flat fee for events under 25M.

-The ""Billable Event Volume"" field tracks your events even below the 25M threshold for visibility.

-The ""Event volume fee (variable)"" only applies if you exceed 25M events.

-If you stay under 25M, your pricing remains the same regardless of the exact event count.

-If you exceed 25M, you'll start incurring variable costs per million events based on tiered pricing."
"""00001375""","Today, we officially completed our migration to Google Analytics 4 and have noticed that virtually all of our casper.com conversions are being attributed to a blank session/medium and unassigned channel grouping (refer to the below screenshot). According to this article, this seemed to have been a bug that was fixed earlier this year by Google. However, we seem to be having the same experience today. It is worth noting that we have redirects setup as we also completed a backend migration of our site, however after testing redirecting links with utm_parameters attached, it seems like these are being preserved after the user is redirected so I would expect them to show up in GA4 as well.","I started a session incognito and noticed that there may be some timing impacts on the data layer events that are firing. For example, loading https://casper.com/mattresses/original-foam-v1.html cause the ""view_item"" event to fire right away, and by the looks of it it has fired BEFORE the configuration tag was able to be initialized (assuming it is set in your page_view event).

 am wondering if these rogue events that fire before your configuration tag may also be having an impact on retaining attribution since that initial event is what GA4 will use to fire session_starts and first_visit events.

In regards to things to look for, it sounds like the back-end is set up correctly (from a general GTM redirect handling side of things). I think the overall thing to look for is the timing aspect of events and making sure that the config tag is the first thing that fires so that any attribution can be correctly applied to the proper user in GA4
","Why are conversions in GA4 showing blank session/medium and unassigned channel grouping, even though redirects are preserving UTM parameters?","The issue could stem from event timing

-Rogue events firing before configuration: Some events, like ""view_item,"" are firing before the configuration tag initializes.
-Impact on attribution: This premature firing disrupts attribution, as GA4 relies on the initial events to determine session_starts and first_visit.

Solution:

-Prioritize configuration tag: Ensure the configuration tag fires first to establish user context for accurate attribution.
-Scrutinize event timing: Review and adjust event firing order to prioritize the configuration tag.
-Verify backend setup: While redirects seem configured correctly, double-check backend settings for potential conflicts.

Another potential cause could be site redirects"
"""00001395""","I do have a GA4 question:

As I have been reviewing the new features of GA4 360, I came across “subproperties”.  In a way, this looks like a substitute to what “views” were in Universal Analytics but with a cost. 

I was watching the video from Google that explains this: https://www.youtube.com/watch?v=5lo7bi7a86c

Is this simply a solution for convenience in filtering?  I guess that would apply the filtering automatically in the preset reports in GA4.  Just curious though: Would an alternative (if I didn’t prefer subproperties at this time) is to simply provide them a filtered report built in Explorer? 

","The idea behind sub-properties is to be able to provide a subset of information from a source property while being able to manage access to the subset of data as well as integrate tools that you would normally not be able to do with a VIEW in Universal Analytics. 

An example would be creating a Source Global Property that collects all the GA data in a single place. This property could then have a subproperty generated under it, filtering only data that has the custom dimension ""Site Type"" = ""Consumer"".

Access to the subproperty can be granted to users or user groups who you wish to ONLY have access to this (and not the global source property). While this is similar to a VIEW in UA, what is different is now you can link different GMP products, BQ, etc (on roadmap) instead of having a view that is integrated to a property that may have loads of integrations that do not apply to this group of users.

In regards to the exploration report, sharing the report will make it available to all users who have access to a property. So once you create a report on your end (private to you) and select to share it, it will switch that report from private to shared, allowing anyone to see that report.

So, even though a subproperty COULD be as simple as filtering the data, it has the potential to extend in functionality that exceeded what Views were capable of in Universal Analytics.","Are subproperties in GA4 360 simply a filtering solution, similar to views in Universal Analytics? Could I use filtered Explorer reports instead?","Subproperties offer more than filtering.

-Enhanced data control: They allow you to manage access to specific data subsets and integrate tools that views didn't support.

-Data filtering: You can create subproperties based on custom dimensions or other criteria.

-Access management: Grant access to specific users or groups for tailored data views.

-Integration flexibility: Link different GMP products and BigQuery (on the roadmap) to subproperties, not just the entire property.

-Beyond filtering: While Explorer reports can provide filtered views, they're shared within the property, accessible to all users. Subproperties offer more granular control.

Conclusion: Subproperties, while capable of filtering, provide extended functionality and control beyond what views in UA offered. Consider their advantages for data governance and integrations when making a decision."
"""00001405""","One of our digital developers is running into an issue when building a comparison in Firebase, where they can see a value with an event count, but when they try to use it as a filter, there are no results. This screenshot shows the specific value:

Can you help with this? I’ve copied the developer, Jason Rodriguez, on this email and he can provide more information if needed.","So there is a hidden limit to how many dimension values will be displayed by using the comparison feature (being a web-based UI, this is to keep the functionality useable vs loading EVERY value, and shows as ""(other)""). As the limit is not shared, you may experience a value that does not display when searching. but if you select the ""All values container 'CBN Live Event 1"" object, it will build the comparison using that value:",Why does a specific value with an event count not appear as a filter option when building comparisons in Firebase?,"Firebase has a hidden limit on displayed dimension values to maintain UI performance.

 - Not all values are shown: To avoid overwhelming the interface, not every possible dimension value is displayed in the comparison tool.
 - Use ""All values"" container: To include a value that isn't directly displayed, select the ""All values"" container for that dimension. This will incorporate the value into the comparison.

Key points:
-The specific limit for displayed values isn't publicly shared.
-Using ""All values"" ensures the desired value is included, even if not visible in the search."
"""00001411""","Can you advise on best approach to handle multi-currency in GA4 please?

 

We accept USD, GBP, and Euros for our e-commerce transactions and want to make sure transactions in GBP and Euros are correctly converted to USD in our reports.","When sending ecommerce event data to GA4, you can include a currency code. Google provides ecommerce event data structure and supported currency codes in their documentation. GA4 reports convert all currencies into the global currency you've set for your property, and monetary values are based on the exchange rate one day before the transaction occurred.

Let me know if you have any questions on the documentation. I'm happy to help where I can.","How can I handle multi-currency transactions (USD, GBP, Euros) and ensure correct conversion to USD in GA4 reports?","Here's how GA4 manages multi-currency:

-Include currency codes: When sending e-commerce event data, incorporate the currency code (e.g., ""USD"", ""GBP"", ""EUR"") for each transaction.

-Refer to Google's documentation: Find detailed guidance on e-commerce event data structure and supported currency codes in Google's documentation.

ecommerce event data structure: https://developers.google.com/analytics/devguides/collection/ga4/ecommerce?client_type=gtag
supported currency codes: https://support.google.com/analytics/answer/9796179?hl=en#zippy=%2Cin-this-article

-GA4 handles conversions: GA4 automatically converts all currencies into the global currency you've set for your property.

-Exchange rate: The conversion uses the exchange rate from one day before the transaction occurred.
Additional notes:

Documentation for clarity: Review Google's documentation for any further questions.
Offered assistance: The respondent is available for further guidance."
,"I’m trying to set up BigQuery, and I’m stuck just trying to figure out what account/user name/organization I should be using to get going. I’ve gone multiple routes (via GA, via GMP, and direct) and am thoroughly confused.

The GA admin just prompts to choose an existing BQ project, so that was a dead end.

I thought I would want to use the GMP route, and got here, but our 360 properties aren’t listed.  

I’m guessing this is using UA360, but no idea how to make get our 360 properties to show in the list.

3. So, this is my direct attempt:

 I’ve gotten here using my Westgate email (which is tied to GA and our GMP account):



And I’m assuming I should choose business here:

If I use “Westgate Resorts” here, will it link to our GMP? Or how do I know if it’s linked to the right organization? There’s no option to that lets me choose something from a dropdown, or prompt to link it on this page.

Please provide the proper way to proceed that ensures that the BQ project will be under the correct login/company/Google Account","You should create a Google Cloud Platform project which you can to here: https://cloud.google.com/gcp/?hl=en You will likely need to add credit card details.

Once you have that then you can link that project to your GA property in GA Admin section. ",Where do I find the login/company/account info for BigQuery with GA 360?,You don't directly use your existing GA or GMP account for BigQuery. You need to create a new Google Cloud Platform (GCP) project.
,"I’m trying to set up BigQuery, and I’m stuck just trying to figure out what account/user name/organization I should be using to get going. I’ve gone multiple routes (via GA, via GMP, and direct) and am thoroughly confused.

The GA admin just prompts to choose an existing BQ project, so that was a dead end.

I thought I would want to use the GMP route, and got here, but our 360 properties aren’t listed.  

I’m guessing this is using UA360, but no idea how to make get our 360 properties to show in the list.

3. So, this is my direct attempt:

 I’ve gotten here using my Westgate email (which is tied to GA and our GMP account):



And I’m assuming I should choose business here:

If I use “Westgate Resorts” here, will it link to our GMP? Or how do I know if it’s linked to the right organization? There’s no option to that lets me choose something from a dropdown, or prompt to link it on this page.

Please provide the proper way to proceed that ensures that the BQ project will be under the correct login/company/Google Account","You should create a Google Cloud Platform project which you can to here: https://cloud.google.com/gcp/?hl=en You will likely need to add credit card details.

Once you have that then you can link that project to your GA property in GA Admin section. ",How do I create a GCP project?,Create a new GCP project at https://cloud.google.com/gcp/?hl=en. You may need to add credit card details.
,"I’m trying to set up BigQuery, and I’m stuck just trying to figure out what account/user name/organization I should be using to get going. I’ve gone multiple routes (via GA, via GMP, and direct) and am thoroughly confused.

The GA admin just prompts to choose an existing BQ project, so that was a dead end.

I thought I would want to use the GMP route, and got here, but our 360 properties aren’t listed.  

I’m guessing this is using UA360, but no idea how to make get our 360 properties to show in the list.

3. So, this is my direct attempt:

 I’ve gotten here using my Westgate email (which is tied to GA and our GMP account):



And I’m assuming I should choose business here:

If I use “Westgate Resorts” here, will it link to our GMP? Or how do I know if it’s linked to the right organization? There’s no option to that lets me choose something from a dropdown, or prompt to link it on this page.

Please provide the proper way to proceed that ensures that the BQ project will be under the correct login/company/Google Account","You should create a Google Cloud Platform project which you can to here: https://cloud.google.com/gcp/?hl=en You will likely need to add credit card details.

Once you have that then you can link that project to your GA property in GA Admin section. ",How do I connect the GCP project to my GA 360 property?,"Once you have a GCP project, go to your GA Admin section and link the project to your GA property. This will allow you to export data to BigQuery."
,"I’m trying to set up BigQuery, and I’m stuck just trying to figure out what account/user name/organization I should be using to get going. I’ve gone multiple routes (via GA, via GMP, and direct) and am thoroughly confused.

The GA admin just prompts to choose an existing BQ project, so that was a dead end.

I thought I would want to use the GMP route, and got here, but our 360 properties aren’t listed.  

I’m guessing this is using UA360, but no idea how to make get our 360 properties to show in the list.

3. So, this is my direct attempt:

 I’ve gotten here using my Westgate email (which is tied to GA and our GMP account):



And I’m assuming I should choose business here:

If I use “Westgate Resorts” here, will it link to our GMP? Or how do I know if it’s linked to the right organization? There’s no option to that lets me choose something from a dropdown, or prompt to link it on this page.

Please provide the proper way to proceed that ensures that the BQ project will be under the correct login/company/Google Account","You should create a Google Cloud Platform project which you can to here: https://cloud.google.com/gcp/?hl=en You will likely need to add credit card details.

Once you have that then you can link that project to your GA property in GA Admin section. ",Which option should I choose when creating the GCP project?,"Choose ""Business"" when creating the GCP project. It doesn't directly link to your GMP, but it allows you to manage various projects like BigQuery for your organization."
,"I’m trying to set up BigQuery, and I’m stuck just trying to figure out what account/user name/organization I should be using to get going. I’ve gone multiple routes (via GA, via GMP, and direct) and am thoroughly confused.

The GA admin just prompts to choose an existing BQ project, so that was a dead end.

I thought I would want to use the GMP route, and got here, but our 360 properties aren’t listed.  

I’m guessing this is using UA360, but no idea how to make get our 360 properties to show in the list.

3. So, this is my direct attempt:

 I’ve gotten here using my Westgate email (which is tied to GA and our GMP account):



And I’m assuming I should choose business here:

If I use “Westgate Resorts” here, will it link to our GMP? Or how do I know if it’s linked to the right organization? There’s no option to that lets me choose something from a dropdown, or prompt to link it on this page.

Please provide the proper way to proceed that ensures that the BQ project will be under the correct login/company/Google Account","You should create a Google Cloud Platform project which you can to here: https://cloud.google.com/gcp/?hl=en You will likely need to add credit card details.

Once you have that then you can link that project to your GA property in GA Admin section. ",How do I know if the GCP project is linked to the right organization?,"Check the ""Organization ID"" in your GCP project settings. This should match the organization ID associated with your GA 360 account.

Additional tips:

You can have multiple GCP projects and link them to different GA properties.
If you already have a GCP project, verify if it's the one you want to use before linking it to your GA 360 property."
,"I'm reaching out to see if you can help us set up the profile names for our big query project: striking-ensign-353220. From my understanding, your team set this up on big query with the property_id being the dominant factory for distinguishing the properties, but we also need the property names.
I do not want to rename the dataset with the GA4 Property name, I just want to add the property name somewhere in there to be able to visually distinguish the property. 
How can I add a description for each dataset and what would it look like? I think this might solve my issue. ","Select the GA dataset, then click EDIT DETAILS and add the description which will appear under Dataset Info. ",How can I visually distinguish GA4 properties in BigQuery without renaming datasets? Can I add a description to each dataset?,"Yes, you can add a description to each dataset to provide more context:

1. Access Edit Details:

Locate the GA dataset you want to edit.
Click the ""Edit Details"" option.
2. Add Description:

Within the Edit Details section, find the ""Dataset Info"" area.
Enter the GA4 property name or any descriptive information in the ""Description"" field.
Save the changes.
Once added, the description will be visible alongside the dataset name, making it easier to distinguish properties."
"""00001409""","We are considering setting up an audience for our newly redesigned website that uses GA4 for analytics, and would like some guidance on this. We have a user experience that includes multiple pages, and we need to know which users go through this process in a single session. Here is more detail:

User clicks “Pray for Salvation” (event is triggered) and then are transitioned for another page.
User indicates if this was a rededication (event) or first time praying (different event).
User can also provide their email address and ask that we contact them (event).
 

We want to know, for example, how many users trigger the Pray for Salvation event and not the Rededication event in a single session. Or how many ask for contact and how many don’t.

 

In our previous setup with Universal Analytics, we accomplished this by using segments. Our understanding is that audiences were the way to go for GA, but the team found this while researching (and segments are not supported by the Google API):

When you create a new audience, it can take 24-48 hours for the audience to accumulate new users. In general, when a new user satisfies the audience criteria, it can take a day or two for that new user to be included in the audience.

 

These numbers need to be reported every day for the previous 24 hours, so we’re concerned audiences are not the way to go.

 

So, given all of this, these are our questions:

Does it really take a day or two for a new user to be included in an existing audience?
Is this turnaround time different from what exists for segments in Universal Analytics today? If this variability exists, currently, that might be ok.
Is there a better recommended approach to handling this dilemma?","1. It CAN take up to two days, however, it is more likely to take a day but the verbiage is set up to cover any delays that may occur.

2. Segments (comparisons in GA4) are session/user-based filters that look at the current data set. Sessions ARE available in GA4, but can only be used in Exploration reports (custom reports), which may be used to help reproduce the reports you would most commonly use in UA for your analysis.

In regards to the comparison, these can be applied to common reports, however, they are limited to looking at dimensions (excluding events). So unless there is another dimension that is being populated that can be used, this feature may not be helpful for your case

3. To get around the actual AUDIENCE from being attributed, there is a feature called ""Adience Triggers"".

https://support.google.com/analytics/answer/9934109?hl=en

This ""trigger"" will essentially fire an event when a user joins an audience (with the option to re-trigger if a user RE-joins the audience). This feature seems to be more FASTER than the actual user being attributed to an audience (the event sends the same day). If you plan on looking at the previous day's audience numbers, this ""Audience Trigger"" feature may be the way to go to get you the data you need in a timely manner.",Does it really take 1-2 days for a user to be included in an audience in GA4?,"Yes, it can take up to 2 days, but typically around 1 day. The wording is cautious to account for potential delays."
"""00001409""","We are considering setting up an audience for our newly redesigned website that uses GA4 for analytics, and would like some guidance on this. We have a user experience that includes multiple pages, and we need to know which users go through this process in a single session. Here is more detail:

User clicks “Pray for Salvation” (event is triggered) and then are transitioned for another page.
User indicates if this was a rededication (event) or first time praying (different event).
User can also provide their email address and ask that we contact them (event).
 

We want to know, for example, how many users trigger the Pray for Salvation event and not the Rededication event in a single session. Or how many ask for contact and how many don’t.

 

In our previous setup with Universal Analytics, we accomplished this by using segments. Our understanding is that audiences were the way to go for GA, but the team found this while researching (and segments are not supported by the Google API):

When you create a new audience, it can take 24-48 hours for the audience to accumulate new users. In general, when a new user satisfies the audience criteria, it can take a day or two for that new user to be included in the audience.

 

These numbers need to be reported every day for the previous 24 hours, so we’re concerned audiences are not the way to go.

 

So, given all of this, these are our questions:

Does it really take a day or two for a new user to be included in an existing audience?
Is this turnaround time different from what exists for segments in Universal Analytics today? If this variability exists, currently, that might be ok.
Is there a better recommended approach to handling this dilemma?","1. It CAN take up to two days, however, it is more likely to take a day but the verbiage is set up to cover any delays that may occur.

2. Segments (comparisons in GA4) are session/user-based filters that look at the current data set. Sessions ARE available in GA4, but can only be used in Exploration reports (custom reports), which may be used to help reproduce the reports you would most commonly use in UA for your analysis.

In regards to the comparison, these can be applied to common reports, however, they are limited to looking at dimensions (excluding events). So unless there is another dimension that is being populated that can be used, this feature may not be helpful for your case

3. To get around the actual AUDIENCE from being attributed, there is a feature called ""Adience Triggers"".

https://support.google.com/analytics/answer/9934109?hl=en

This ""trigger"" will essentially fire an event when a user joins an audience (with the option to re-trigger if a user RE-joins the audience). This feature seems to be more FASTER than the actual user being attributed to an audience (the event sends the same day). If you plan on looking at the previous day's audience numbers, this ""Audience Trigger"" feature may be the way to go to get you the data you need in a timely manner.",Is this turnaround time different from segments in Universal Analytics?,"Yes, segments in UA are session/user-based filters that work with current datasets, providing more immediate results."
